주소,y,x
서울특별시 강북구 삼양로107길 30,37.64160511,127.0149889
서울특별시 강북구 삼양로 230-12,37.62400648,127.0195388
서울특별시 노원구 동일로197길 24,37.62879899,127.0698009
서울특별시 노원구 덕릉로 450(상계동 770-2),37.64487286,127.0583049
서울특별시 도봉구 마들로 656,37.66871613,127.0471314
서울특별시 도봉구 마들로 797,37.68080297,127.0501327
서울특별시 도봉구 도봉동 341-1,37.69003605,127.0429579
서울특별시 동대문구 천호대로 145 동대문구청 옥외주차장,37.57439172,127.0398966
서울특별시 도봉구 마들로 645 (방학동),37.66766629,127.0455616
"서울특별시 강북구 삼양로 247삼양시장, 지상주차장 3층 324구역(미아동 1359)",37.62551826,127.017747
서울특별시 노원구 노원로 330 옥상 매장 앞,37.64679053,127.0709409
서울특별시 노원구 노원로 330,37.64679053,127.0709409
서울특별시 중랑구 겸재로23길 27,37.58793511,127.0808933
서울특별시 강북구 도봉로 61길 46,37.6285602,127.0223435
"서울특별시 강북구 오현로 21길 84, 옥상 주차장",37.62510041,127.0334059
서울특별시 성북구 정릉동 829-1,37.61846978,126.9969202
서울특별시 노원구 상계2동 373-13,37.65676589,127.0675069
서울특별시 동대문구 약령중앙로 26,37.58060041,127.0375866
"서울특별시 중랑구 신내로 156, 입구 좌측 주차장(신내동 316)",37.61309131,127.099187
서울특별시 성북구 장위2동 65-154(장위2동 65-154),37.60939144,127.0532211
서울특별시 강북구 도봉로 69길 29,37.63057787,127.0218695
서울특별시 노원구 하계동 251-8,37.63867402,127.0740175
서울특별시 도봉구 쌍문2동 710-4,37.66115195,127.0386884
"서울특별시 도봉구 쌍문3동 315-62, 지하 1층 안쪽",37.64926204,127.029351
서울특별시 광진구 능동로 216어린이대공원 후문주차장,37.5520117,127.0787724
서울특별시 중랑구 용마산로 250-12 출구쪽,37.57335201,127.0891221
"서울특별시 동대문구 이문로 136, 지하주차장 1층 D-04(이문동 292-10)",37.59848092,127.0618727
서울특별시 중랑구 중화동 73-5,37.59829002,127.0734552
서울특별시 도봉구 창2동 582-22,37.64126334,127.036287
"서울특별시 도봉구 창3동 504-21, 좌측 안쪽",37.63308628,127.041455
"서울특별시 동대문구 왕산로 214, 주차장 옥상(전농동 591-53)",37.58419614,127.0511471
서울특별시 동대문구 회기로 85,37.59503671,127.0463228
서울특별시 노원구 노원로75,37.62881715,127.082693
서울특별시 중랑구 망우로 353 지하3층 05,37.59833282,127.0916241
서울특별시 중랑구 신내로 201 5층 H01,37.6158127,127.0937379
"서울특별시 성북구 화랑로 76, 지하주차장 3층 98구역(하월곡동 46-73)",37.60182774,127.0404635
서울특별시 노원구 동일로204가길 12 5층 출구앞,37.63985808,127.068668
서울특별시 중랑구 망우로71길 53(망우동 353-3),37.60279111,127.1020402
"서울특별시 중랑구 망우본동353-1, 망우제2호 거주자주차장",37.60316755,127.1019318
서울특별시 광진구 능동로 216어린이대공원 후문주차장(광진구 능동 18),37.5520117,127.0787724
서울특별시 광진구 능동로 216(18 어린이대공원),37.5520117,127.0787724
서울특별시 중랑구 봉화산로 179(662 중랑구청),37.60656359,127.0927248
서울특별시 도봉구 마들로11길 74창동역 공영주차장(도봉구 창동 1-9),37.65407759,127.0487373
서울특별시 도봉구 마들로11길 74(창동 61),37.65407759,127.0487373
서울특별시 광진구 자양로 103주유소 출구 부근(자양동 779-7),37.53693591,127.0831194
서울특별시 도봉구 도봉로 895주유소 입구(도봉1동 561-6),37.68436938,127.0455223
서울특별시 성북구 동소문로 323주유소 출구 안쪽(길음2동 21-73),37.60880835,127.0294735
서울특별시 중랑구 망우로 475주유소 입구 안쪽,37.60087117,127.1048407
서울특별시 동대문구 왕산로 289주유소 출구 안쪽(청량리동 18-46),37.58646996,127.0516032
서울특별시 동대문구 답십리로 210-3동대문구 체육관 주차장 입구,37.57228767,127.0639537
서울특별시 동대문구,37.57452298,127.039657
서울특별시 도봉구 마들로13길 84창동아우르네,37.6553763,127.0480035
서울특별시 동대문구 왕산로 109,37.57865199,127.0359371
서울특별시 광진구 광나루로 56길 85,37.53572518,127.0956922
서울특별시 강북구 도봉로 242,37.63058484,127.0248864
"서울특별시 성북구 안암로 145 (안암동5가, 고려대학교안암캠퍼스)",37.58870342,127.0316983
서울특별시 노원구 공릉동 섬밭로 156,37.63078086,127.0680033
서울특별시 노원구 공릉동 91,37.62326957,127.0860106
서울특별시 노원구 공릉동 동일로175길 38 ,37.61988717,127.0724697
서울특별시 노원구 공릉동 동일로195길 39 ,37.6268026,127.0697857
서울특별시 노원구 공릉동 동일로183길 34,37.62328229,127.0713893
서울특별시 노원구 공릉동 공릉로 206,37.62842693,127.0779323
서울특별시 노원구 공릉동 공릉로27길 110,37.62671861,127.077469
서울특별시 노원구 공릉동 화랑로51길 78지하2층 506동 전기실 출입구,37.62581838,127.0878278
서울특별시 노원구 공릉동 섬밭로 139 ,37.63028158,127.0657021
서울특별시 광진구 광장동 아차산로 537-17,37.54296206,127.099659
서울특별시 광진구 자양로 117,37.5385399,127.0819124
서울특별시 광진구 자양동 구의강변로1길 44,37.52989578,127.0896265
서울특별시 광진구 구의강변로 106(199-18 구의동삼성쉐르빌),37.53985699,127.0948966
서울특별시 광진구 구의동 199-18,37.53990048,127.0948191
서울특별시 성북구 정릉동 861-1,37.61095366,126.9976654
서울특별시 성북구 돈암동 동소문로34길 73지하2층 주차장(돈암동 643),37.5997975,127.0223277
서울특별시 성북구 길음로 16,37.60708569,127.0232761
서울특별시 성북구 장위동 월계로36길 27,37.62144228,127.0463268
서울특별시 노원구 상계동 701-1지상 주차장 입구 우측,37.65416505,127.0566605
서울특별시 노원구 노해로 429,37.65366156,127.0555792
서울특별시 노원구 상계동 상계로7길 18,37.65817436,127.0648281
서울특별시 노원구 공릉동 670-20,37.61853188,127.0762189
서울특별시 동대문구 답십리로 130,37.57285496,127.0524012
서울특별시 동대문구 답십리로 130지하주차장 2층 311동 3-4라인,37.57285496,127.0524012
서울특별시 성북구 하월곡동 회기로5길 100지하주차장,37.59621191,127.0411041
서울특별시 도봉구 방학동 720-1,37.66514288,127.0481417
서울특별시 노원구 공릉동 섬밭로 52,37.62138913,127.0721424
서울특별시 광진구 자양동 아차산로 262,37.53700164,127.0729628
"서울특별시 도봉구 도봉로 552 (창동, 도봉구민회관)",37.65416727,127.0386849
"서울특별시 도봉구 마들로 656 (방학동, 도봉구청)",37.66871613,127.0471314
서울특별시 도봉구 마들로 684-20,37.66986078,127.0470083
서울특별시 도봉구 마들로 735-8,37.6761802,127.0478175
서울특별시 성북구 돈암동 아리랑로5길 85지하1층 101동 출입구 앞,37.5979008,127.0099657
서울특별시 성북구 돈암동 아리랑로 89,37.60076991,127.0136175
서울특별시 성북구 돈암동 1-3,37.60409568,127.0289051
서울특별시 중랑구 동일로 862,37.60746881,127.079243
서울특별시 노원구 공릉동 공릉로 213,37.62788039,127.0773923
서울특별시 도봉구 도봉동 도봉로180길 6-23,37.68192345,127.0470092
서울특별시 도봉구 창동 노해로69길 103,37.65778635,127.0492757
"서울특별시 동대문구 휘경동 366지하주차장 1층 103동 1,2라인 앞",37.58741026,127.0686931
서울특별시 성북구 하월곡동 종암로 167,37.60505876,127.0309904
서울특별시 노원구 중계동 중계로 195,37.64958708,127.0789128
서울특별시 광진구 자양3동 510-8,37.53619042,127.0694553
서울특별시 강북구 미아동 삼양로 256,37.62628401,127.0188996
서울특별시 성북구 석관동 410,37.60604579,127.0636144
서울특별시 동대문구 답십리동 한천로37길 33,37.57632455,127.0658133
서울특별시 노원구 중계동 노원로22길 34,37.64636938,127.0727769
서울특별시 중랑구 면목동 1081-1,37.58078914,127.0938229
서울특별시 중랑구 면목동 면목로37길 58,37.5807751,127.0836026
서울특별시 중랑구 면목동 사가정로42길 90,37.57795936,127.0810925
서울특별시 중랑구 면목동 동일로 483,37.57356279,127.0797524
서울특별시 중랑구 묵동 숙선옹주로 6-9,37.61484214,127.0778887
서울특별시 중랑구 묵동 동일로 932,37.61383938,127.0775571
서울특별시 강북구 미아동 숭인로7가길 37,37.61389583,127.0262234
서울특별시 강북구 미아동 1355,37.61498544,127.0365548
서울특별시 노원구 상계동 동일로250길 18,37.68184246,127.0569993
서울특별시 도봉구 방학동 방학로 200,37.66282799,127.029536
서울특별시 도봉구 방학동 방학로12길 53,37.66334206,127.0285482
서울특별시 도봉구 시루봉로 11길 25-8,37.66428046,127.0265213
서울특별시 도봉구 방학동 도봉로150바길 26 ,37.66490172,127.0451131
서울특별시 도봉구 방학동 도봉로150길 43,37.66629345,127.0458471
서울특별시 도봉구 방학동 해등로 286-5,37.65772975,127.0241592
서울특별시 동대문구 망우로 18나길 20,37.58709299,127.0617461
서울특별시 성북구 보문동4가 인촌로2길 37,37.58767181,127.0178651
서울특별시 강북구 월계로 173(90 북서울꿈의숲),37.62025446,127.0443247
서울특별시 노원구 동일로 1238,37.64066045,127.0668656
서울특별시 도봉구 우이천로 367,37.64788419,127.0240704
서울특별시 성북구 돈암동 북악산로 844 ,37.59738598,127.019323
서울특별시 중랑구 묵동 공릉로18길 59,37.61864949,127.0814315
서울특별시 동대문구 휘경동 망우로20길 86,37.589998,127.0655317
서울특별시 성북구 삼선동3가 삼선교로16길 35,37.58801843,127.0121412
서울특별시 성북구 삼선동2가 보문로29다길 31 ,37.58417735,127.0126186
서울특별시 성북구 삼선동2가 294-8,37.58356685,127.0106493
서울특별시 노원구 공릉동 26-21,37.64290314,127.1060317
서울특별시 노원구 상계동 덕릉로 780제2주차장 B3 6번,37.66669198,127.079126
서울특별시 노원구 상계동 상계로5길 12,37.65735343,127.0642634
서울특별시 노원구 상계동 한글비석로52길 66,37.66704032,127.0681213
서울특별시 노원구 상계동 652,37.665831,127.0558209
서울특별시 노원구 상계동 624,37.66878332,127.0537252
서울특별시 중랑구 상봉동 상봉중앙로1다길 21,37.59982279,127.0893906
서울특별시 도봉구 도봉동 도봉산길 35,37.68691598,127.0411523
서울특별시 노원구 공릉로 232어학교육관,37.63307893,127.0767947
서울특별시 성북구 석관동 화랑로48길 16,37.61376289,127.0689946
서울특별시 성북구 상월곡동 101,37.60789924,127.045424
서울특별시 노원구 상계동 누원로 28지하,37.68747717,127.0535548
서울특별시 중랑구 상봉동 봉화산로 130,37.6031912,127.0884684
서울특별시 중랑구 상봉동 1,37.60399827,127.0935451
서울특별시 중랑구 신내동 신내역로1길 85,37.61680909,127.1062937
서울특별시 중랑구 봉화산로 123(485 신내테크노타운),37.60402738,127.0877959
"서울특별시 도봉구 시루봉로2길 62 (쌍문동, 쌍문미라보아파트)",37.65510069,127.0314124
서울특별시 도봉구 쌍문동 우이천로30길 28,37.64849899,127.0263293
