주소,y,x
서울특별시 강북구 삼양로138길 18(수유동),37.64906302,127.0148934
서울특별시 강북구 삼양로 299(수유동),37.6300516,127.0175594
서울특별시 강북구 인수봉로66길 9(수유동),37.64047664,127.0125782
서울특별시 강북구 오현로21길 84(번동),37.62510041,127.0334059
서울특별시 강북구 솔매로49길 14(미아동),37.62709135,127.0269751
서울특별시 강북구 덕릉로42길 49(번동),37.63301654,127.032228
서울특별시 강북구 도봉로69길 29(수유동),37.63057787,127.0218695
서울특별시 강북구 삼양로64길 32-14(미아동),37.62768657,127.0200562
서울특별시 강북구 도봉로95길 38-1(수유동),37.6422615,127.0270316
서울특별시 강북구 인수봉로20가길 21(미아동),37.62607221,127.0134696
서울특별시 강북구 월계로7길 36(미아동),37.61163266,127.0335871
서울특별시 강북구 도봉로61길 46(미아동),37.6285602,127.0223435
서울특별시 강북구 삼양로 230-12(미아동),37.62400648,127.0195388
서울특별시 강북구 오패산로 156-3(미아동),37.61576046,127.0338678
서울특별시 강북구 삼양로47길 9(미아동),37.62293474,127.0185405
서울특별시 강북구 삼각산로 89(수유동),37.64067162,127.0141139
서울특별시 강북구 삼양로19길 34(미아동),37.61514822,127.0207421
서울특별시 강북구 삼양로51길 22(미아동),37.62391135,127.0171814
서울특별시 강북구 오현로 145(번동),37.62511539,127.0360797
서울특별시 강북구 오패산로 290(미아동),37.62712419,127.0297883
서울특별시 강북구 번동 266,37.62835459,127.0448485
서울특별시 강북구 삼각산로 85(수유동),37.64098979,127.0138781
서울특별시 강북구 삼양로54길 68(미아동),37.62308136,127.0215555
서울특별시 강북구 덕릉로41길 74(번동),37.63789129,127.0288472
서울특별시 강북구 오패산로 290-1(미아동),37.62664874,127.0297976
서울특별시 강북구 우이동 209-8 우이동 먹거리마을 입구,37.66454642,127.0114996
서울특별시 강북구 덕릉로42길 49 (번동),37.63301654,127.032228
서울특별시 강북구 오현로25나길 16(번동),37.62751878,127.0366539
서울특별시 동대문구 답십리로 210-3 (답십리동),37.57228767,127.0639537
서울특별시 동대문구 외대역동로6길 3 (휘경동),37.59291476,127.0657322
서울특별시 동대문구 장한로 191 (장안동),37.57716529,127.0709026
서울특별시 동대문구 회기로10길 60 (청량리동),37.58996951,127.0472897
서울특별시 동대문구 홍릉로 81 (청량리동),37.58751632,127.0427076
서울특별시 동대문구 한천로 329 (휘경동),37.59013384,127.0685918
서울특별시 동대문구 서울시립대로4길 75 (답십리동),37.573193,127.0503603
서울특별시 동대문구 한천로11길 18 (답십리동),37.56739777,127.0612821
서울특별시 동대문구 약령시로5길 22 (제기동),37.58402099,127.034197
서울특별시 동대문구 천호대로27길 35 (용두동),37.57580011,127.0372752
서울특별시 동대문구 한천로18길 48 (장안동),37.56795149,127.0661707
서울특별시 동대문구 사가정로 137 (전농동),37.57809107,127.0600078
서울특별시 동대문구 천호대로71길 29 (답십리동),37.56876896,127.0529766
서울특별시 동대문구 홍릉로12길 18 (청량리동),37.58543534,127.044533
서울특별시 동대문구 한천로17길 7 (답십리동),37.5693584,127.0635402
서울특별시 동대문구 청계천로 521 (용두동),37.57181346,127.0340474
서울특별시 동대문구 휘경로 28 (이문동),37.59503801,127.0626384
서울특별시 동대문구 사가정로 30 (답십리동),37.57182309,127.0512749
서울특별시 동대문구 한천로58길 81-49 (이문동),37.60224436,127.0687022
서울특별시 동대문구 답십리로56길 89 (답십리동),37.56874012,127.0588778
서울특별시 동대문구 한빛로 62 (용두동),37.57860562,127.0296388
서울특별시 동대문구 고산자로28길 13 (용두동),37.57532359,127.0391728
서울특별시 동대문구 답십리로38길 19 (답십리동),37.57345654,127.0501523
중랑구 신내로15길 175,37.61481251,127.0878892
중랑구 망우로87길 110,37.60495511,127.1099608
중랑구 신내동 660,37.60926813,127.0946019
중랑구 상봉1동 481,37.60536713,127.0911423
중랑구 신내로 156,37.61309131,127.099187
중랑구 용마산로 217,37.57322658,127.0859728
중랑구 신내동 63-10,37.61425316,127.102746
중랑구 용마산로94길 98,37.58739985,127.1018199
중랑구 망우로67길 10,37.60056056,127.1014853
중랑구 겸재로23길 27,37.58793511,127.0808933
중랑구 송림길 172,37.60686128,127.1106972
중랑구 면목동 727-250,37.57282704,127.0798768
중랑구 송림길 160,37.60639933,127.1094532
중랑구 신내역로1길 136,37.61761574,127.1099414
중랑구 신내로 208,37.61700015,127.0931176
서울시 중랑구 양원역로 38,37.60439473,127.1076807
광진구행정차고지,37.54567517,127.1004922
광진노인복지관,37.55130435,127.0715315
자양종합사회복지관,37.53302485,127.0752003
아차산 공영주차장,37.55181133,127.1004935
화양동주민센터,37.54669832,127.0712943
광진정보도서관 문화동,37.55120561,127.1105699
자양4동주민센터,37.5342235,127.0663059
구의공원,37.53707401,127.0945979
구의3동주민센터,37.53829568,127.0918697
중곡종합사회복지관,37.55682739,127.0848684
능동경로당,37.55341534,127.0800004
능동주민센터,37.55389349,127.0805173
서울시 노원구 상계동,37.66125058,127.0602528
서울시 도봉구 창동,37.65225821,127.0454323
서울시 노원구 상계동,37.66125058,127.0602528
서울시 도봉구 방학동,37.66589755,127.0268754
서울시 노원구 상계동,37.66125058,127.0602528
서울시 성북구 석관동,37.61298602,127.0614008
서울시 노원구 중계동,37.65255505,127.0774886
