주소,y,x
서울특별시 강서구 가로공원로 189 지하주차장 05,37.53723484,126.8370391
서울특별시 강서구 화곡로65길62,37.55966985,126.850584
서울특별시 구로구 개봉동 134-8,37.49999219,126.8510372
서울특별시 양천구 곰달래로10길 4,37.52953817,126.8360231
서울특별시 강서구 강서로5길 50 지상주차장,37.52905997,126.8488982
서울특별시 구로구 구로동 136-14(구로동 136-14),37.49183884,126.8917009
서울특별시 영등포구 여의도동 1,37.53105861,126.9153815
"서울특별시 영등포구 의사당대로1, 국회도서관 앞",37.53291197,126.9164039
"서울특별시 영등포구 의사당대로1, 국회의원회관 주차장 우측",37.53291197,126.9164039
서울특별시 관악구 낙성대로4가길 5,37.47629595,126.9583876
서울특별시 관악구 난곡로34나길 14 2층,37.4725735,126.9213512
서울특별시 관악구 난곡로 67,37.46151944,126.9187965
서울특별시 양천구 중앙로29길 41,37.51613569,126.8496408
서울특별시 영등포구 영신로 183,37.52449264,126.901423
"서울특별시 금천구 범안로12가길 65, 독산1동 공영주차장 옥상(독산동 1006-94)",37.46494122,126.8948157
서울특별시 금천구 두산로 71 (독산동),37.47062285,126.8956736
"서울특별시 영등포구 영중로 125, 지상주차장(외부 1F)",37.52781676,126.9046835
"서울특별시 구로구 경인로 482, 지상주차장 5층(구로동 636-89)",37.49828789,126.8727311
"서울특별시 강서구 하늘길 77, 지하주차장 1층 A-18구역(방화동 886)",37.56214413,126.8015703
서울특별시 영등포구 양평동3가 45,37.52604965,126.8916463
"서울특별시 강서구 양천로 251, 입구 우측",37.57314342,126.8321468
"서울특별시 강서구 방화대로 94, 호텔 정면 주차장(외발산동 426)",37.54789572,126.8195071
서울특별시 양천구 목동 중앙본로 120,37.54614359,126.8717015
서울특별시 양천구 목동중앙로 25 ,37.53243314,126.8683948
서울특별시 양천구 신정6동 322-5,37.51705616,126.8638326
서울특별시 강서구 까치산로4길 22 지하주차장 101,37.54181561,126.8443228
"서울특별시 관악구 봉천로21길 38 입구좌측, 지하 각 1기",37.48858083,126.9344934
서울특별시 강서구 발산로 40,37.55537701,126.8228628
서울특별시 영등포구 가마산로 540,37.5027501,126.9157937
서울특별시 영등포구 여의대방로 53길 22,37.51205054,126.9223691
"서울특별시 금천구 독산로 36나길 21, B1 18",37.45934816,126.9093508
서울특별시 영등포구 신길로40길 5 1층 정면,37.50715236,126.9116554
서울특별시 영등포구 신길동 3203,37.50246008,126.9111366
서울특별시 관악구 관천로 98 1층,37.48735558,126.9234633
서울특별시 양천구 화곡로4길 10,37.53858213,126.8271743
서울특별시 양천구 중앙로 32길 1,37.51857188,126.8542861
서울특별시 양천구 남부순환로 88길 5-7,37.51143336,126.841513
서울특별시 영등포구 영중로3길 7 지하1층 여성전용구역,37.51628002,126.9055292
서울특별시 영등포구 신길1동 116-15(신길1동 116-15),37.51107647,126.9175847
"서울특별시 영등포구 양산로111, 왼쪽 끝편 주차장(당산동3가 370-4)",37.52472308,126.895522
서울특별시 영등포구 영신로 10길 15,37.51439842,126.909163
서울특별시 영등포구 신길로60길 34,37.51332396,126.914082
서울특별시 관악구 양지길 63 옥상,37.47010352,126.9292669
서울특별시 금천구 가산동 239-27(가산동 239-27),37.474417,126.8867632
