주소,y,x
서울시 강동구 올림픽로,37.54875107,127.1268237
서울시 강동구 암사동,37.55870596,127.1309858
서울시 강동구 상암로,37.54793826,127.1483192
서울시 강동구 성안로,37.53384756,127.1334021
서울시 강동구 동남로,37.54707382,127.1552056
서울시 강동구 명일로2,37.5311554,127.1489537
서울시 강동구 아리수로,37.56220774,127.1538154
서울시 강동구 올림픽로92길,37.54804182,127.1284162
서울시 강동구 천호동,37.54408757,127.1281851
서울시 강동구 성내동,37.53088222,127.1296195
서울시 강동구 명일동,37.55144181,127.1514903
서울시 강동구 천중로,37.54384901,127.1340246
서울특별시 강남구 봉은사로 616,37.51435594,127.0626072
서울특별시 강남구 봉은사로 332,37.50978716,127.0432183
서울특별시 강남구 남부순환로 3143 ,37.50035542,127.0745264
서울특별시 강남구 언주로70길 18,37.49711078,127.047113
서울특별시 강남구 학동로 426,37.51796816,127.0470598
서울특별시 강남구 도곡로18길 57,37.4883103,127.0388804
서울특별시 강남구 영동대로 65길 24,37.50230433,127.0641877
서울특별시 강남구 헌릉로 590길 60 ,37.46117663,127.1033226
서울특별시 강남구 헌릉로745길 49,37.47015993,127.1163659
서울특별시 강남구 광평로60길 22,37.48698084,127.106951
서울특별시 강남구 헌릉로590길 68,37.46103847,127.1027375
동작구 상도2동 176-3,37.50442384,126.9411375
동작구 장승배기로 161,37.51252777,126.9399421
동작구 솔밭로 86,37.48408142,126.9673507
동작구 대방동 385-2,37.50477235,126.9229754
동작구 솔밭로 74-1 ,37.48301847,126.9672695
동작구 노량진로32길 62,37.51149415,126.9568781
동작구 양녕로36길 13,37.50221752,126.9461782
동작구 양녕로36길 15,37.50249099,126.9464233
동작구 사당동 316-40,37.47890102,126.9732498
동작구 신대방동 707,37.49456539,126.9122484
동작구 매봉로43,37.50693558,126.9512413
동작구 흑석동 336-1,37.50460437,126.9651245
동작구 여의대방로 36길 71,37.50775194,126.9267361
동작구 상도로13길 16,37.50126873,126.9302787
동작구 여의대방로16길 53,37.49471976,126.9167677
동작구 상도동 283-226,37.49323247,126.9363305
동작구 상도동 235-23,37.4992132,126.9391213
동작구 성대로 180,37.49925547,126.9403722
동작구 노량진로 247,37.51453063,126.9524302
동작구 동작대로 21 버거킹 앞,37.47848162,126.9813621
동작구 대방동 15-45 (잔디구장),37.50754852,126.9278145
서초구 남부순환로340길 15,37.48205213,127.0250125
서초구 남부순환로 2584,37.48362486,127.032683
서초구 반포동 114-3,37.49883527,126.9912434
서초구 사평대로 28길 70,37.49748589,127.0003286
서초구 서초대로70길 51,37.49206947,127.0249478
서초구 방배로 173,37.48900761,126.9922424
서초구 염곡말길 9,37.46182406,127.050699
서초구 신반포로33길 22,37.50995205,127.0109937
서초구 서초동 1649-5,37.49013675,127.019503
서초구 남부순환로340길 58,37.48119596,127.0234336
서초구 남부순환로323길 44-15,37.48330429,127.0146705
서초구 남부순환로340길 21,37.48174263,127.0246247
서초구 청계산로15길 77,37.44935828,127.0583143
서초구 신반포로23길 78,37.51204799,127.0056087
서초구 서운로26길 3,37.50271558,127.02221
서초구 양재천로 33,37.47367918,127.0335724
서울특별시 송파구 석촌호수로 155,37.50726531,127.0942173
서울특별시 송파구 거마로2길 19,37.49353897,127.1468274
서울특별시 송파구 양산로 15,37.49072577,127.1428534
서울특별시 송파구 중대로 235,37.5027425,127.1284004
서울특별시 송파구 동남로 397,37.51213193,127.1403024
서울특별시 송파구 백제고분로42길 5,37.50592943,127.1097315
서울특별시 송파구 탄천동로 211,37.50289457,127.0777053
서울특별시 송파구 헌릉로 793,37.47181099,127.1245333
서울특별시 송파구 성내천로35길 53,37.50038417,127.1588134
서울특별시 송파구 충민로2길 20,37.47793798,127.1271271
서울특별시 송파구 오금로53길 32,37.49694018,127.1433044
서울특별시 송파구 백제고분로42길 15,37.50526098,127.1103074
서울특별시 송파구 백제고분로37길 16,37.5035629,127.1036842
서울특별시 송파구 위례순환로 413,37.47797343,127.1412858
서울특별시 송파구 동남로 263,37.49999535,127.1348515
서울특별시 송파구 중대로4길 4,37.48970358,127.1112621
서울특별시 송파구 마천로 287,37.49684218,127.1485343
서울특별시 송파구 토성로19길 37,37.53157484,127.1195823
서울특별시 송파구 문정동 621,37.48044585,127.1205073
서울특별시 송파구 잠실본동 306,37.50310157,127.0788733
서울특별시 송파구 양산로 5,37.48977029,127.142671
서울특별시 송파구 장지동 692-2,37.47193324,127.1241241
서울특별시 송파구 송파대로 345,37.49761457,127.1025318
서울특별시 송파구 성내천로33가길 16,37.50000763,127.1545444
서울특별시 송파구 잠실본동 194-7번지,37.50963949,127.0801343
서울특별시 송파구 충민로 184,37.48578447,127.1341609
서울특별시 송파구 송파대로42길 29,37.50633499,127.1104869
서울특별시 송파구 가락동 508,37.49641284,127.1004992
