주소,y,x,수,코드
서울특별시 중구 북창동,37.56222,126.9780424,11,11140113
서울특별시 중구 태평로2가,37.56298372,126.976358,189,11140114
서울특별시 중구 남대문로2가,37.56369831,126.9820306,244,11140115
서울특별시 중구 남대문로3가,37.56201137,126.9803197,12,11140116
서울특별시 중구 남대문로4가,37.56010755,126.975458,2,11140117
서울특별시 중구 남대문로5가,37.55757731,126.9742953,364,11140118
서울특별시 중구 봉래동1가,37.55950513,126.9729229,5,11140119
서울특별시 중구 봉래동2가,37.55653859,126.9709683,5,11140120
서울특별시 중구 회현동1가,37.55558921,126.9812041,59,11140121
서울특별시 중구 회현동2가,37.55875377,126.9829191,61,11140122
서울특별시 중구 회현동3가,37.56015228,126.9840597,0,11140123
서울특별시 중구 충무로1가,37.56143503,126.9821625,2,11140124
서울특별시 중구 충무로2가,37.56204859,126.9896098,10,11140125
서울특별시 중구 명동1가,37.56428613,126.9846383,2,11140126
서울특별시 중구 명동2가,37.56288786,126.9852271,12,11140127
서울특별시 중구 남산동1가,37.55933424,126.9845805,8,11140128
서울특별시 중구 남산동2가,37.55841905,126.986396,6,11140129
서울특별시 중구 남산동3가,37.56071855,126.9877628,2,11140130
서울특별시 중구 저동1가,37.56441263,126.9877894,4,11140131
서울특별시 중구 충무로4가,37.56226515,126.9943272,36,11140132
서울특별시 중구 충무로5가,37.56313025,126.999828,10,11140133
서울특별시 중구 인현동2가,37.56420417,126.9961245,8,11140134
서울특별시 중구 예관동,37.56421503,126.998189,28,11140135
서울특별시 중구 묵정동,37.56145439,127.0003712,11,11140136
서울특별시 중구 필동1가,37.56107573,126.992453,6,11140137
서울특별시 중구 필동2가,37.55932071,126.9946263,23,11140138
서울특별시 중구 필동3가,37.55849908,126.997003,15,11140139
서울특별시 중구 남학동,37.56055304,126.9908142,0,11140140
서울특별시 중구 주자동,37.56063941,126.9893881,1,11140141
서울특별시 중구 예장동,37.55521187,126.990086,35,11140142
서울특별시 중구 장충동1가,37.56065408,127.0073251,23,11140143
서울특별시 중구 장충동2가,37.55501767,127.0006021,38,11140144
서울특별시 중구 광희동1가,37.56522399,127.0064517,7,11140145
서울특별시 중구 광희동2가,37.56393003,127.0084075,4,11140146
서울특별시 중구 쌍림동,37.56352661,127.0042105,12,11140147
서울특별시 중구 을지로6가,37.56777199,127.0066331,10,11140148
서울특별시 중구 을지로7가,37.56614998,127.0097434,1,11140149
서울특별시 중구 을지로4가,37.56649276,126.9987549,6,11140150
서울특별시 중구 을지로5가,37.56660807,127.0024313,9,11140151
서울특별시 중구 주교동,37.56825151,126.9993571,2,11140152
서울특별시 중구 방산동,37.56870557,127.0029566,1,11140153
서울특별시 중구 오장동,37.56491061,127.0006927,3,11140154
서울특별시 중구 을지로3가,37.5664565,126.992697,9,11140155
서울특별시 중구 입정동,37.5678116,126.9927285,3,11140156
서울특별시 중구 산림동,37.56772885,126.9955085,4,11140157
서울특별시 중구 충무로3가,37.56267222,126.9913074,14,11140158
서울특별시 중구 초동,37.5644058,126.992181,3,11140159
서울특별시 중구 인현동1가,37.56371393,126.9937295,2,11140160
서울특별시 중구 저동2가,37.56422181,126.989777,9,11140161
서울특별시 중구 신당동,37.56201573,127.0144422,705,11140162
서울특별시 중구 흥인동,37.56729172,127.0163584,12,11140163
서울특별시 중구 무학동,37.56435822,127.0152712,15,11140164
서울특별시 중구 황학동,37.56749994,127.0214158,114,11140165
서울특별시 중구 서소문동,37.56311295,126.9738995,13,11140166
서울특별시 중구 정동,37.56658701,126.9731332,12,11140167
서울특별시 중구 순화동,37.56255718,126.9706944,54,11140168
서울특별시 중구 의주로1가,37.56478736,126.968063,2,11140169
서울특별시 중구 충정로1가,37.56651012,126.9682706,0,11140170
서울특별시 중구 중림동,37.55916822,126.9661776,69,11140171
서울특별시 중구 의주로2가,37.56105403,126.9695677,0,11140172
서울특별시 중구 만리동1가,37.55616281,126.9672881,25,11140173
서울특별시 중구 만리동2가,37.55457608,126.963957,98,11140174
서울특별시 용산구 도동1가,37.54284398,126.973368,0,11170002
서울특별시 용산구 후암동,37.54867983,126.9781505,131,11170101
서울특별시 용산구 용산동2가,37.54191952,126.9829456,53,11170102
서울특별시 용산구 용산동4가,37.53062488,126.9852245,0,11170103
서울특별시 용산구 갈월동,37.54677566,126.9721626,79,11170104
서울특별시 용산구 남영동,37.54284398,126.973368,5,11170105
서울특별시 용산구 용산동1가,37.53999397,126.9769672,2,11170106
서울특별시 용산구 동자동,37.55205196,126.972396,41,11170107
서울특별시 용산구 서계동,37.55296599,126.9669997,32,11170108
서울특별시 용산구 청파동1가,37.54876747,126.9674588,54,11170109
서울특별시 용산구 청파동2가,37.5465142,126.9647982,28,11170110
서울특별시 용산구 청파동3가,37.54324601,126.9669723,24,11170111
서울특별시 용산구 원효로1가,37.5396132,126.9670645,89,11170112
서울특별시 용산구 원효로2가,37.53628921,126.9633231,20,11170113
서울특별시 용산구 신창동,37.53576734,126.9549462,24,11170114
서울특별시 용산구 산천동,37.53541651,126.951801,83,11170115
서울특별시 용산구 청암동,37.53448087,126.9466786,16,11170116
서울특별시 용산구 원효로3가,37.53430511,126.9576353,25,11170117
서울특별시 용산구 원효로4가,37.53225169,126.9505902,132,11170118
서울특별시 용산구 효창동,37.54245881,126.9618989,145,11170119
서울특별시 용산구 도원동,37.53812082,126.9551258,80,11170120
서울특별시 용산구 용문동,37.53768644,126.9598828,62,11170121
서울특별시 용산구 문배동,37.53710184,126.9694054,128,11170122
서울특별시 용산구 신계동,37.53582531,126.9667403,63,11170123
서울특별시 용산구 한강로1가,37.53397806,126.9730544,73,11170124
서울특별시 용산구 한강로2가,37.5315623,126.9686836,139,11170125
서울특별시 용산구 용산동3가,37.53186694,126.9769652,7,11170126
서울특별시 용산구 용산동5가,37.52614325,126.974365,66,11170127
서울특별시 용산구 한강로3가,37.52766086,126.9621824,191,11170128
서울특별시 용산구 이촌동,37.51419543,126.9720978,890,11170129
서울특별시 용산구 이태원동,37.54026621,126.9915273,215,11170130
서울특별시 용산구 한남동,37.53462986,127.0005521,319,11170131
서울특별시 용산구 동빙고동,37.5244124,126.9951129,99,11170132
서울특별시 용산구 서빙고동,37.52046238,126.9946381,142,11170133
서울특별시 용산구 주성동,37.52157254,126.9992217,16,11170134
서울특별시 용산구 용산동6가,37.52355311,126.9803298,1,11170135
서울특별시 용산구 보광동,37.52627217,127.000172,98,11170136
서울특별시 성동구 상왕십리동,37.56843271,127.0247847,59,11200101
서울특별시 성동구 하왕십리동,37.56191221,127.0287032,393,11200102
서울특별시 성동구 홍익동,37.56635502,127.0322138,24,11200103
서울특별시 성동구 도선동,37.56379583,127.0335302,39,11200104
서울특별시 성동구 마장동,37.56637955,127.0453258,263,11200105
서울특별시 성동구 사근동,37.56149975,127.0453273,32,11200106
